corpus,date,organisation,territoire,localisation,registry_status,siren,ape,activity_or_gap,source
cyberattaque_org_2026,2026-08-09,Impact Centre Chrétien,France,France,not_found,,,,https://www.cyberattaque.org/impact-centre-chretien-frappe-par-qilin-passeports-permis-et-titres-de-sejour-deja-exposes/
cyberattaque_org_2026,2026-08-09,CLCV,France,"Montrouge, Île-de-France",not_found,,,,https://www.cyberattaque.org/cyberattaque-association-nationale-de-consommateurs-et-usagers/
cyberattaque_org_2026,2026-07-22,Rassemblement National,France,France,taxonomy_gap,331309013,94.99Z,Associations,https://www.cyberattaque.org/rassemblement-national-une-base-wordpress-de-95-tables-en-fuite-apres-une-cyberattaque/
cyberattaque_org_2026,2026-07-16,Croq’Vacances,France,France,not_found,,,,https://www.cyberattaque.org/croqvacances-72-916-personnes-et-24-go-de-documents-dans-une-fuite-massive/
cyberattaque_org_2026,2026-06-14,Junior Association,France,France,taxonomy_gap,814126009,94.99Z,Associations,https://www.cyberattaque.org/junior-association-plus-de-63-000-jeunes-et-responsables-associatifs-concernes-par-une-fuite-de-donnees/
cyberattaque_org_2026,2026-05-27,Restaurant Ino Plage,France,Cagnes-sur-Mer,not_found,,,,https://www.cyberattaque.org/restaurant-ino-plage-une-base-de-donnees-clients-diffusee-apres-une-cyberattaque/
cyberattaque_org_2026,2026-05-27,FNHPA,France,France,not_found,,,,https://www.cyberattaque.org/fnhpa-pres-de-9-000-donnees-et-documents-de-campings-francais-exposes/
cyberattaque_org_2026,2026-05-24,Les Embruns d’Oléron,France,Château-d’Oléron sur l’île d’Oléron,not_found,,,,https://www.cyberattaque.org/les-embruns-doleron-les-donnees-de-1-800-vacanciers-du-camping-exfiltrees/
cyberattaque_org_2026,2026-05-23,Avea Vacances,France,France,not_found,,,,https://www.cyberattaque.org/avea-vacances-victime-dune-cyberattaque-46-000-dossiers-de-sejours-exposes/
cyberattaque_org_2026,2026-05-19,Vacances Lagrange,France,France,not_found,,,,https://www.cyberattaque.org/vacances-lagrange-plus-de-44-000-vacanciers-touches-par-une-fuite-de-donnees/
cyberattaque_org_2026,2026-04-15,Brit Hotel,France,France,not_found,,,,https://www.cyberattaque.org/brit-hotel-682-000-membres-du-programme-fidelite-dans-une-fuite-de-donnees/
cyberattaque_org_2026,2026-04-14,CNAOC,France,France,not_found,,,,https://www.cyberattaque.org/cnaoc-30-ans-darchives-internes-et-donnees-sensibles-exposees-apres-une-cyberattaque/
cyberattaque_org_2026,2026-03-31,Homair,France,France,taxonomy_gap,340061530,93.0D,Sports/loisirs,https://www.cyberattaque.org/homair-les-donnees-clients-exposees-apres-une-cyberattaque/
frenchbreaches_2026,2026-07-30,Amicale Police et Patrimoine,France,France,taxonomy_gap,499949022,94.99Z,Associations,https://frenchbreaches.com/alertes/amicale-police-et-patrimoine-ms7xe2xpgow9p71fxcj
frenchbreaches_2026,2026-07-16,Accor,France,France,ambiguous,,,,https://frenchbreaches.com/alertes/accor-mrnestktvsq82nhtwf9
frenchbreaches_2026,2026-06-25,Agir pour l'environnement,France,France,ambiguous,,,,https://frenchbreaches.com/alertes/agir-pour-l-environnement-mqtwfi9m32grtksa4gv
frenchbreaches_2026,2026-05-07,Action Populaire (La France Insoumise),France,France,not_found,,,,https://frenchbreaches.com/alertes/action-populaire-la-france-insoumise-movimkdab8oo5wwy747
frenchbreaches_2026,2026-04-28,Nemea Groupe,France,France,not_found,,,,https://frenchbreaches.com/alertes/nemea-groupe-moik15b9vx3rf48rfaa
frenchbreaches_2026,2026-03-09,Côté Sushi,France,France,not_found,,,,https://frenchbreaches.com/alertes/cote-sushi-mmj67ld79j4ww4jathl
frenchbreaches_2026,2026-03-08,Association des accidentés de la vie (FNATH),France,France,ambiguous,,,,https://frenchbreaches.com/alertes/association-des-accidentes-de-la-vie-fnath-mmhtcld404otb3tsj8t
frenchbreaches_2026,2026-02-24,Azaé & Domaliance,France,France,not_found,,,,https://frenchbreaches.com/alertes/azae-domaliance-mm0w6lz1me6jkr4obv
frenchbreaches_2026,2026-02-20,Azaé,France,France,ambiguous,,,,https://frenchbreaches.com/alertes/azae-mlv2yvjgb00fd4pxcv6
frenchbreaches_2026,2026-02-18,RTL Group (M6),France,France,not_found,,,,https://frenchbreaches.com/alertes/rtl-group-m6-mlsfhwfxrqdo4svzmi
frenchbreaches_2026,2026-02-10,Les burgers de Papa,France,France,taxonomy_gap,795094655,77.40Z,,https://frenchbreaches.com/alertes/les-burgers-de-papa-mlh66h5atyqhdxtj65f
frenchbreaches_2026,2026-02-09,Avantages-Jeunes,France,France,not_found,,,,https://frenchbreaches.com/alertes/avantages-jeunes-mlff78kvlf29wen2xjg
frenchbreaches_2026,2026-02-08,Rankfyt,France,France,not_found,,,,https://frenchbreaches.com/alertes/rankfyt-mlef4ept03tun8fo8774
frenchbreaches_2026,2026-02-06,AutoForever,France,France,not_found,,,,https://frenchbreaches.com/alertes/autoforever-mlbkrz8wjo07bfiywbq
frenchbreaches_2026,2026-02-05,Family Cinema,France,France,ambiguous,,,,https://frenchbreaches.com/alertes/family-cinema-ml9qnui6iewybidbcv
frenchbreaches_2026,2026-01-27,O'Tacos,France,France,ambiguous,,,,https://frenchbreaches.com/alertes/o-tacos-070e61496a4f
frenchbreaches_2026,2026-01-08,Casino de Paris,France,France,taxonomy_gap,582047957,90.01Z,Arts/création,https://frenchbreaches.com/alertes/casino-de-paris-2e79e355cd3f
frenchbreaches_2026,2026-01-08,Carte Avantages Jeunes (CRIJ Bourgogne-Franche-Comté),France,France,not_found,,,,https://frenchbreaches.com/alertes/carte-avantages-jeunes-crij-bourgogne-franche-comte-22968c4379e8
frenchbreaches_2026,2026-01-06,Philharmonie de Paris (PAD),France,France,not_found,,,,https://frenchbreaches.com/alertes/philharmonie-de-paris-pad-1fc3409fac96
